id	filename	md5	size	state
00f4587b-e7ec-4aca-bceb-2cc374983b42	00f4587b-e7ec-4aca-bceb-2cc374983b42/aa43dda6-3cf8-4175-9db6-0b27de79056c.rna_seq.augmented_star_gene_counts.tsv	24f3b8372532ed79af5ff51fa506969a	4223154	validated
01313c7a-1032-4e0a-adff-39ff091ff401	01313c7a-1032-4e0a-adff-39ff091ff401/558afc5a-055f-4164-a71b-ff9202084d90.rna_seq.augmented_star_gene_counts.tsv	1e31a85c2f9ce209274461087ebbc3e7	4227371	validated
162c5b36-4a5b-4aa4-bd55-ab259acfa92d	162c5b36-4a5b-4aa4-bd55-ab259acfa92d/9a46bee4-b191-4218-a2bb-fd375eccba49.rna_seq.augmented_star_gene_counts.tsv	6d3a347f54a770e27dd96ccf55909960	4223438	validated
1e776d52-714c-41ef-b1e8-ba5dd8bd94c3	1e776d52-714c-41ef-b1e8-ba5dd8bd94c3/2783b1e4-6b94-47bd-bd54-a77f6b1cbde7.rna_seq.augmented_star_gene_counts.tsv	983868a115806c3057a8d2bafaf485bb	4219036	validated
22101f19-cb1b-4e04-8039-f10b17c7a7ae	22101f19-cb1b-4e04-8039-f10b17c7a7ae/a1da1702-ba7e-49c3-a514-16ec8a4809c5.rna_seq.augmented_star_gene_counts.tsv	8b7db71ea75692bab8341df43108b8e3	4230601	validated
3d858dfe-d2e5-418f-bd89-60b8c0a9193a	3d858dfe-d2e5-418f-bd89-60b8c0a9193a/e5dcf96d-c396-4b18-93f9-c76e8a5691d9.rna_seq.augmented_star_gene_counts.tsv	ebd4e08fcd4dc9a4e7742e22d2334d07	4226537	validated
41cf49d6-ea94-48ec-be0f-f92cb0b91cfb	41cf49d6-ea94-48ec-be0f-f92cb0b91cfb/7974fdc0-6115-420c-b4af-3f3cbd40798b.rna_seq.augmented_star_gene_counts.tsv	c36f11a1d892da8cad584f8e96ab1874	4221103	validated
491a4c6f-06bc-41d6-b7e1-385681af84e5	491a4c6f-06bc-41d6-b7e1-385681af84e5/10e35d70-d303-4ebf-9b9f-2787b1fce0d1.rna_seq.augmented_star_gene_counts.tsv	b6b48c0bf5e02681eee9a89580a96dd4	4240076	validated
49e27b2c-a240-4e24-b2f4-02bda6662307	49e27b2c-a240-4e24-b2f4-02bda6662307/b24369a4-6536-4e83-bb90-2406275309e2.rna_seq.augmented_star_gene_counts.tsv	7754c654a6d5b8dbc954308f499780d0	4223475	validated
4eac6ed1-840e-49b4-9ad8-a6c92cf9ed17	4eac6ed1-840e-49b4-9ad8-a6c92cf9ed17/38eb7b84-03d7-45af-8a57-5495773e6374.rna_seq.augmented_star_gene_counts.tsv	cc1d55196cb1ee459964286b606a7d13	4238163	validated
510533bd-590b-475a-b5e8-e7bb36e7bd32	510533bd-590b-475a-b5e8-e7bb36e7bd32/245a2c2c-7e8e-417e-bc89-546fc45dc735.rna_seq.augmented_star_gene_counts.tsv	ca4b280f75b5b867a1d192c3bae82194	4214876	validated
5a527d6b-04d8-453e-87b5-99a7e4ef1a38	5a527d6b-04d8-453e-87b5-99a7e4ef1a38/27b772f3-823b-45b8-a203-496ed23c0369.rna_seq.augmented_star_gene_counts.tsv	67688c1e98f2b808f6c789f28e4987a3	4224238	validated
5ab7618f-b2de-48b7-a342-9ad1a9a2578c	5ab7618f-b2de-48b7-a342-9ad1a9a2578c/14a0137d-5df2-453d-83ba-9133c8b9b89b.rna_seq.augmented_star_gene_counts.tsv	0d9b4e442c155f7cba1901f2d713a954	4223499	validated
5b787f1b-e2ac-452c-bf32-dc328e85484f	5b787f1b-e2ac-452c-bf32-dc328e85484f/df38a08b-8d81-4efe-937b-1f00756a3a82.rna_seq.augmented_star_gene_counts.tsv	61084ad214f78074d6b8d98b44d3e3d6	4232019	validated
